path	bytes	reason
content/sound/bs_xen_mantaride_crash.wav	6832160	unreachable from active sound pools and model events
content/sound/controllerjack_recover.wav	519244	unreachable from active sound pools and model events
content/sound/crounchandjump/player_jump_1.wav	62420	unreachable from active sound pools and model events
content/sound/crounchandjump/player_jump_2.wav	61820	unreachable from active sound pools and model events
content/sound/crounchandjump/player_jump_3.wav	68818	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/air_conditioner-02.ogg	176247	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/boat_bell-01.ogg	21301	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/boat_bell-02.ogg	24720	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/boat_creak-01.ogg	51311	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/boat_creak-03.ogg	56791	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/boat_creak-04.ogg	56770	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/buoy_bell-02.ogg	19328	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/buoy_bell-03.ogg	19377	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/buoy_bell-04.ogg	24631	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/buoy_bell-05.ogg	23915	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/buoy_ring-01.ogg	46095	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/buoy_ring-02.ogg	41617	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/buoy_ring-04.ogg	44407	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/buoy_ring-05.ogg	42046	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/car_debris-01.ogg	40699	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/car_debris-02.ogg	25289	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/car_debris-03.ogg	31991	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/car_debris-04.ogg	30212	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/car_rattle-01.ogg	64731	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/car_rattle-02.ogg	58805	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/car_rattle-03.ogg	69283	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/car_rattle-04.ogg	71988	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/combine_soldier_radio_talk-01.ogg	23264	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/combine_soldier_radio_talk-02.ogg	30065	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/combine_soldier_radio_talk-03.ogg	84766	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/combine_soldier_radio_talk-04.ogg	67999	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/combine_soldier_radio_talk-05.ogg	72594	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/combine_soldier_radio_talk-06.ogg	32659	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/combine_soldier_radio_talk-07.ogg	37906	unreachable from active sound pools and model events
content/sound/dynamic_prop_sounds/combine_soldier_radio_talk-08.ogg	42598	unreachable from active sound pools and model events
